Observation,Model,Baseline,NumUsers
1.0,1.01,1.5,377.0
2.0,0.98,1.5,377.0
3.0,0.95,1.5,377.0
4.0,1.0,1.5,377.0
5.0,1.03,1.5,377.0
6.0,1.02,1.5,377.0
7.0,1.06,1.5,377.0
8.0,1.02,1.5,377.0
9.0,1.07,1.5,377.0
10.0,1.04,1.5,377.0
11.0,1.04,1.5,377.0
12.0,1.07,1.5,377.0
13.0,1.15,1.5,377.0
14.0,1.07,1.5,377.0
15.0,1.04,1.5,377.0
16.0,0.9,1.5,377.0
17.0,1.02,1.5,377.0
18.0,1.03,1.5,377.0
19.0,1.01,1.5,377.0
20.0,1.03,1.5,377.0
21.0,0.99,1.5,361.0
22.0,1.04,1.5,351.0
23.0,1.13,1.5,345.0
24.0,1.04,1.5,339.0
25.0,0.97,1.5,331.0
26.0,1.02,1.5,324.0
27.0,1.04,1.5,314.0
28.0,0.99,1.5,307.0
29.0,1.17,1.5,299.0
30.0,1.12,1.5,291.0
31.0,1.06,1.5,287.0
32.0,1.02,1.5,284.0
33.0,0.99,1.5,279.0
34.0,1.04,1.5,273.0
35.0,0.95,1.5,269.0
36.0,1.0,1.5,264.0
37.0,1.03,1.5,260.0
38.0,1.02,1.5,257.0
39.0,1.13,1.5,252.0
40.0,1.01,1.5,246.0
41.0,0.92,1.5,242.0
42.0,0.9,1.5,237.0
43.0,1.07,1.5,233.0
44.0,1.1,1.5,229.0
45.0,1.01,1.5,228.0
46.0,0.94,1.5,226.0
47.0,1.03,1.5,222.0
48.0,1.0,1.5,213.0
49.0,0.99,1.5,212.0
50.0,1.01,1.5,207.0
51.0,1.11,1.5,206.0
52.0,1.04,1.5,204.0
53.0,1.06,1.5,204.0
54.0,1.11,1.5,202.0
55.0,1.21,1.5,201.0
56.0,1.07,1.5,199.0
57.0,1.05,1.5,199.0
58.0,1.2,1.5,196.0
59.0,0.96,1.5,194.0
60.0,0.98,1.5,193.0
61.0,1.01,1.5,191.0
62.0,0.97,1.5,190.0
63.0,1.04,1.5,187.0
64.0,1.04,1.5,186.0
65.0,1.03,1.5,182.0
66.0,1.12,1.5,181.0
67.0,0.98,1.5,179.0
68.0,0.95,1.5,176.0
69.0,1.12,1.5,176.0
70.0,0.97,1.5,176.0
71.0,1.06,1.5,174.0
72.0,0.86,1.5,170.0
73.0,1.09,1.5,170.0
74.0,0.91,1.5,168.0
75.0,0.98,1.5,165.0
76.0,0.98,1.5,162.0
77.0,1.13,1.5,162.0
78.0,1.01,1.5,161.0
79.0,1.06,1.5,161.0
80.0,1.02,1.5,160.0
81.0,1.35,1.5,159.0
82.0,1.04,1.5,156.0
83.0,0.85,1.5,155.0
84.0,0.93,1.5,154.0
85.0,1.08,1.5,153.0
86.0,1.1,1.5,152.0
87.0,1.1,1.5,150.0
88.0,1.07,1.5,150.0
89.0,1.15,1.5,150.0
90.0,0.95,1.5,147.0
91.0,1.01,1.5,145.0
92.0,1.05,1.5,145.0
93.0,1.08,1.5,145.0
94.0,1.17,1.5,143.0
95.0,1.06,1.5,143.0
96.0,0.99,1.5,142.0
97.0,0.99,1.5,141.0
98.0,1.04,1.5,141.0
99.0,0.85,1.5,139.0
100.0,1.08,1.5,139.0
101.0,1.06,1.5,138.0
102.0,0.91,1.5,138.0
103.0,1.07,1.5,136.0
104.0,0.93,1.5,134.0
105.0,1.13,1.5,131.0
106.0,1.07,1.5,128.0
107.0,1.03,1.5,126.0
108.0,1.0,1.5,123.0
109.0,1.09,1.5,119.0
110.0,1.14,1.5,116.0
111.0,0.91,1.5,114.0
112.0,1.09,1.5,114.0
113.0,1.09,1.5,114.0
114.0,0.96,1.5,114.0
115.0,1.13,1.5,113.0
116.0,0.95,1.5,110.0
117.0,1.07,1.5,110.0
118.0,0.99,1.5,109.0
119.0,1.11,1.5,108.0
120.0,1.0,1.5,107.0
121.0,1.25,1.5,106.0
122.0,1.03,1.5,104.0
123.0,1.09,1.5,103.0
124.0,1.08,1.5,103.0
125.0,0.97,1.5,101.0
126.0,0.94,1.5,101.0
127.0,1.01,1.5,101.0
128.0,1.09,1.5,99.0
129.0,1.21,1.5,99.0
130.0,0.89,1.5,98.0
131.0,1.09,1.5,98.0
132.0,1.0,1.5,98.0
133.0,0.99,1.5,97.0
134.0,1.09,1.5,97.0
135.0,1.15,1.5,96.0
136.0,1.1,1.5,94.0
137.0,0.95,1.5,93.0
138.0,1.07,1.5,92.0
139.0,1.04,1.5,91.0
140.0,1.16,1.5,91.0
141.0,1.19,1.5,90.0
142.0,1.0,1.5,89.0
143.0,1.0,1.5,87.0
144.0,0.95,1.5,87.0
145.0,1.09,1.5,87.0
146.0,0.99,1.5,86.0
147.0,0.91,1.5,85.0
148.0,0.96,1.5,83.0
149.0,1.12,1.5,80.0
150.0,0.91,1.5,79.0
151.0,1.08,1.5,78.0
152.0,1.03,1.5,78.0
153.0,1.03,1.5,78.0
154.0,1.01,1.5,78.0
155.0,0.88,1.5,77.0
156.0,0.93,1.5,76.0
157.0,0.88,1.5,75.0
158.0,1.03,1.5,74.0
159.0,1.08,1.5,73.0
160.0,0.85,1.5,72.0
161.0,1.19,1.5,72.0
162.0,1.03,1.5,71.0
163.0,1.09,1.5,70.0
164.0,1.09,1.5,69.0
165.0,1.07,1.5,69.0
166.0,1.07,1.5,68.0
167.0,1.11,1.5,65.0
168.0,1.02,1.5,64.0
169.0,1.1,1.5,61.0
170.0,0.9,1.5,61.0
171.0,1.07,1.5,61.0
172.0,0.9,1.5,59.0
173.0,1.1,1.5,59.0
174.0,1.39,1.5,59.0
175.0,1.14,1.5,58.0
176.0,0.82,1.5,57.0
177.0,1.23,1.5,57.0
178.0,0.96,1.5,57.0
179.0,1.09,1.5,57.0
180.0,1.12,1.5,57.0
181.0,0.98,1.5,57.0
182.0,1.04,1.5,56.0
183.0,0.93,1.5,56.0
184.0,1.05,1.5,55.0
185.0,1.04,1.5,54.0
186.0,1.0,1.5,52.0
187.0,1.02,1.5,52.0
188.0,0.81,1.5,52.0
189.0,1.16,1.5,51.0
190.0,1.37,1.5,51.0
191.0,1.02,1.5,51.0
192.0,1.12,1.5,50.0
193.0,1.02,1.5,50.0
194.0,1.24,1.5,50.0
195.0,1.04,1.5,50.0
196.0,1.02,1.5,50.0
197.0,1.1,1.5,50.0
198.0,1.33,1.5,49.0
199.0,1.02,1.5,49.0
200.0,1.1,1.5,49.0
