UserId,Model,Baseline
567.0,0.92,1.59
568.0,1.21,1.63
569.0,1.0,1.43
570.0,1.59,1.59
571.0,1.1,1.45
572.0,1.4,1.7
573.0,0.82,1.47
574.0,1.3,1.7
575.0,1.65,1.73
576.0,1.25,1.61
577.0,0.78,1.54
578.0,1.96,1.46
579.0,1.0,1.5
580.0,1.28,1.74
581.0,1.0,1.68
582.0,1.21,1.89
583.0,0.67,1.26
584.0,0.96,1.33
585.0,1.16,1.35
586.0,1.05,1.45
587.0,1.31,1.37
588.0,0.96,1.54
589.0,1.26,1.77
590.0,1.33,1.56
591.0,0.82,1.29
592.0,1.11,1.66
593.0,1.07,1.71
594.0,1.08,1.16
595.0,1.28,1.5
596.0,0.8,1.5
597.0,1.0,1.59
598.0,0.84,1.48
599.0,0.85,1.34
600.0,0.96,1.57
601.0,1.41,1.6
602.0,0.83,1.31
603.0,0.91,1.49
604.0,1.15,1.48
605.0,1.17,1.73
606.0,0.77,1.49
607.0,0.92,1.49
608.0,1.22,1.69
609.0,2.0,1.68
610.0,1.05,1.61
611.0,0.83,1.67
612.0,1.22,1.0
613.0,0.86,1.64
614.0,1.26,1.15
615.0,1.05,1.66
616.0,0.95,1.3
617.0,1.55,1.73
618.0,1.25,1.41
619.0,1.24,1.51
620.0,0.89,1.65
621.0,0.89,1.56
622.0,1.12,1.45
623.0,0.93,1.38
624.0,0.9,1.33
625.0,1.04,1.33
626.0,2.0,1.38
627.0,1.29,1.38
628.0,0.74,2.3
629.0,0.88,1.49
630.0,1.18,1.21
631.0,1.0,1.3
632.0,1.03,1.52
633.0,1.12,1.21
634.0,1.09,1.35
635.0,1.18,1.47
636.0,1.0,1.35
637.0,1.95,1.5
638.0,0.97,1.49
639.0,1.78,1.36
640.0,0.76,1.61
641.0,0.82,1.78
642.0,1.03,1.53
643.0,0.88,1.36
644.0,0.55,1.26
645.0,0.74,1.52
646.0,1.45,1.39
647.0,0.67,1.34
648.0,1.25,1.55
649.0,0.67,1.46
650.0,1.22,1.29
651.0,1.48,1.33
652.0,1.23,1.73
653.0,1.69,1.53
654.0,0.99,1.61
655.0,1.59,1.27
656.0,1.88,1.29
657.0,1.38,1.38
658.0,0.93,1.45
659.0,0.91,1.54
660.0,1.62,1.53
661.0,0.75,1.71
662.0,0.83,1.48
663.0,1.08,1.29
664.0,0.95,1.48
665.0,0.99,1.35
666.0,0.92,1.44
667.0,0.98,1.47
668.0,1.09,1.46
669.0,1.21,1.51
670.0,0.96,1.37
671.0,1.17,1.47
672.0,1.41,1.34
673.0,0.8,1.34
674.0,0.78,1.63
675.0,1.06,1.44
676.0,1.18,1.83
677.0,1.27,1.71
678.0,1.29,1.39
679.0,0.94,1.37
680.0,0.68,1.45
681.0,1.32,1.86
682.0,1.16,1.39
683.0,1.35,1.39
684.0,0.93,1.66
685.0,2.45,1.85
686.0,0.72,1.8
687.0,1.0,1.38
688.0,1.0,1.96
689.0,1.11,1.56
690.0,1.2,1.5
691.0,0.94,2.06
692.0,1.02,1.52
693.0,1.4,1.42
694.0,0.62,1.62
695.0,1.29,1.5
696.0,0.83,1.72
697.0,1.15,1.62
698.0,1.66,1.42
699.0,1.23,1.39
700.0,0.86,1.0
701.0,0.79,1.12
702.0,2.13,1.74
703.0,1.04,1.4
704.0,0.99,1.49
705.0,1.02,1.61
706.0,1.28,1.41
707.0,1.23,1.44
708.0,1.31,1.55
709.0,0.96,1.57
710.0,0.93,1.64
711.0,0.94,1.5
712.0,0.81,1.43
713.0,1.57,1.37
714.0,1.09,1.52
715.0,1.07,1.49
716.0,0.91,1.57
717.0,0.96,1.41
718.0,0.92,1.13
719.0,1.61,1.49
720.0,0.77,1.6
721.0,1.16,1.4
722.0,0.88,1.29
723.0,1.36,1.0
724.0,2.14,1.62
725.0,0.68,1.68
726.0,1.67,1.38
727.0,1.31,1.43
728.0,0.88,1.15
729.0,1.48,1.43
730.0,1.34,1.24
731.0,1.28,1.77
732.0,1.25,1.8
733.0,1.71,1.35
734.0,1.0,1.38
735.0,1.25,1.36
736.0,1.5,1.88
737.0,0.91,1.48
738.0,0.83,1.48
739.0,1.23,2.11
740.0,1.0,1.3
741.0,1.0,1.54
742.0,0.96,1.42
743.0,0.94,1.71
744.0,0.7,1.67
745.0,1.45,1.52
746.0,1.06,1.57
747.0,0.91,1.63
748.0,0.87,1.56
749.0,0.94,1.53
750.0,1.36,1.27
751.0,0.98,1.36
752.0,1.37,1.51
753.0,1.21,1.37
754.0,1.29,1.26
755.0,1.21,1.87
756.0,1.12,1.38
757.0,0.99,1.42
